StartDest;EndDest;TravelTime;Price;Distance;
Munich;Berlin;70;98.77;504.5;
Munich;Berlin;70;86.11;504.5;
Munich;Berlin;70;109.77;504.5;
Berlin;Munich;70;227.13;504.5;
Berlin;Munich;70;249.04;504.5;
Berlin;Munich;70;263.04;504.5;
Berlin;Munich;70;125.23;504.5;
Berlin;Munich;70;126.23;504.5;
Hamburg;Munich;80;98.53;255.65;
Hamburg;Munich;75;90.11;255.65;
Hamburg;Munich;80;99.11;255.65;
Hamburg;Munich;80;119.11;255.65;
Hamburg;Munich;80;144.11;255.65;
Hamburg;Munich;75;138.53;255.65;
Hamburg;Munich;80;174.53;255.65;
Hamburg;Munich;75;114.11;255.65;
Munich;Hamburg;80;103.25;255.65;
Munich;Hamburg;80;139.25;255.65;
Munich;Hamburg;80;91.59;255.65;
Munich;Hamburg;85;120.59;255.65;
Munich;Hamburg;80;115.59;255.65;
Munich;Hamburg;80;145.59;255.65;
Munich;Hamburg;85;155.59;255.65;
Munich;Hamburg;85;195.59;255.65;
Frankfurt;Berlin;70;103.27;424.14;
Frankfurt;Berlin;70;114.27;424.14;
Frankfurt;Berlin;70;86.27;424.14;
Frankfurt;Berlin;70;140.27;424.14;
Berlin;Frankfurt;75;97.13;424.14;
Berlin;Frankfurt;75;116.13;424.14;
Berlin;Frankfurt;75;84.04;424.14;
Berlin;Frankfurt;75;108.04;424.14;
Berlin;Frankfurt;75;162.04;424.14;
